,sku,description,url,price,UPC,keyword
505,130f40808   100,"8"" x 8"" Heavy Weight Seal Top Freezer Bag - 100/Pack",https://www.webstaurantstore.com/8-x-8-heavy-weight-seal-top-freezer-bag-pack/130F40808%20%20%20100.html,From $5.46/Pack,654866012914,disposable-food-packaging-supplies
506,721682257,"Ziploc® 682257 10 9/16"" x 10 3/4"" One Gallon Storage Bag with Double Zipper and Write-On Label - 250/Case",https://www.webstaurantstore.com/sc-johnson-ziploc-682257-10-9-16-x-10-3-4-one-gallon-storage-bag-with-double-zipper-and-write-on-label-case/721682257.html,From $27.80/Case,10019800946026,disposable-food-packaging-supplies
507,150dw1515,"15"" x 15"" 21 lb. Dry Wax Paper - 4000/Case",https://www.webstaurantstore.com/15-x-15-21-lb-dry-wax-paper-case/150DW1515.html,From $67.09/Case,10787879000610,disposable-food-packaging-supplies
508,130zp070311m,"Choice 7 1/2"" x 11 1/2"" 3 Mil Silver Metallized / Clear Plastic Zip Top Stand-Up Pouch with Hanging Hole - 500/Case",https://www.webstaurantstore.com/pouch-hh-silver-cl-7-5x3-case/130ZP070311M.html,From $119.17/Case,,disposable-food-packaging-supplies
509,130w090415lf,"Choice 9"" x 2 1/2"" x 15"" 1 Mil Clear Gusseted Polyethylene Bread Bag on Wicket Dispenser - 1000/Case",https://www.webstaurantstore.com/choice-9-x-2-1-2-x-15-1-mil-clear-gusseted-polyethylene-bread-bag-on-wicket-dispenser-case/130W090415LF.html,From $38.84/Case,,disposable-food-packaging-supplies
510,150hot1/2g,Choice .5 Gallon Insulated Foil Take Out Bag for Hot / Cold Food - 500/Case,https://www.webstaurantstore.com/choice-5-gallon-insulated-foil-take-out-bag-for-hot-cold-food-case/150HOT1*2G.html,From $71.54/Case,,disposable-food-packaging-supplies
511,130040208,"Inteplast Group PB040208 4"" x 2"" x 8"" Plastic Food Bag - 1000/Case",https://www.webstaurantstore.com/inteplast-group-pb040208-4-x-2-x-8-plastic-food-bag-case/130040208.html,From $6.19/Case,762935014759,disposable-food-packaging-supplies
512,721682255,"Ziploc® 682255 6 1/2"" x 5 7/8"" Sandwich Bag - 500/Case",https://www.webstaurantstore.com/sc-johnson-ziploc-682255-6-1-2-x-5-7-8-sandwich-bag-case/721682255.html,From $15.12/Case,019800946005,disposable-food-packaging-supplies
513,150f808ravtw,"Bagcraft NAT-F808RAVTWF Eco-Flute 9"" x 8"" x 2"" Corrugated Clamshell Pizza Take-Out Box with Window - 300/Case",https://www.webstaurantstore.com/bagcraft-papercon-nat-f808ravtwf-eco-flute-9-x-8-x-2-corrugated-clamshell-pizza-take-out-box-with-window-case/150F808RAVTW.html,$126.99/Case,10651470980803,disposable-food-packaging-supplies
514,130to211810p,"Plastic ""Thank You"" 21"" x 10"" x 18"" Take Out Bag with Wave Handle - 500/Box",https://www.webstaurantstore.com/plastic-thank-you-21-x-10-x-18-take-out-bag-with-wave-handle-box/130TO211810P.html,From $66.04/Box,654866027994,disposable-food-packaging-supplies
